FID	IID	PHENO
samp_g0_60_h1	samp_g0_60_h1	1
samp_g0_8_h0	samp_g0_8_h0	1
samp_g0_73_h1	samp_g0_73_h1	1
samp_g0_12_h0	samp_g0_12_h0	1
samp_g0_8_h1	samp_g0_8_h1	1
samp_g0_94_h1	samp_g0_94_h1	1
samp_g0_94_h0	samp_g0_94_h0	1
samp_g0_78_h1	samp_g0_78_h1	1
samp_g0_16_h1	samp_g0_16_h1	1
samp_g0_16_h0	samp_g0_16_h0	1
samp_g0_19_h0	samp_g0_19_h0	1
samp_g0_19_h1	samp_g0_19_h1	1
samp_g0_78_h0	samp_g0_78_h0	1
samp_g0_75_h1	samp_g0_75_h1	1
samp_g0_75_h0	samp_g0_75_h0	1
samp_g0_38_h1	samp_g0_38_h1	1
samp_g0_61_h1	samp_g0_61_h1	1
samp_g0_21_h0	samp_g0_21_h0	1
samp_g0_21_h1	samp_g0_21_h1	1
samp_g0_30_h1	samp_g0_30_h1	1
samp_g0_38_h0	samp_g0_38_h0	1
samp_g0_70_h1	samp_g0_70_h1	1
samp_g0_30_h0	samp_g0_30_h0	1
samp_g0_70_h0	samp_g0_70_h0	1
samp_g0_61_h0	samp_g0_61_h0	1
samp_g0_99_h0	samp_g0_99_h0	1
samp_g0_99_h1	samp_g0_99_h1	1
samp_g0_59_h1	samp_g0_59_h1	1
samp_g0_59_h0	samp_g0_59_h0	1
samp_g0_7_h1	samp_g0_7_h1	1
samp_g0_32_h0	samp_g0_32_h0	1
samp_g0_7_h0	samp_g0_7_h0	1
samp_g0_32_h1	samp_g0_32_h1	1
samp_g0_50_h0	samp_g0_50_h0	1
samp_g0_50_h1	samp_g0_50_h1	1
samp_g0_24_h0	samp_g0_24_h0	1
samp_g0_24_h1	samp_g0_24_h1	1
samp_g0_22_h0	samp_g0_22_h0	1
samp_g0_22_h1	samp_g0_22_h1	1
samp_g0_77_h1	samp_g0_77_h1	1
samp_g0_77_h0	samp_g0_77_h0	1
samp_g0_9_h0	samp_g0_9_h0	1
samp_g0_9_h1	samp_g0_9_h1	1
samp_g0_48_h1	samp_g0_48_h1	1
samp_g0_48_h0	samp_g0_48_h0	1
