SAMPLE	covar1	covar2
samp_g0_0	0	0.976817829434442
samp_g0_1	0	-0.546757366898969
samp_g0_2	0	0.1345858402465
samp_g0_3	0	0.667533753041785
samp_g0_4	0	-0.479642328884384
samp_g0_5	0	1.47664903317901
samp_g0_6	1	2.464578169165
samp_g0_7	1	-0.803222735584523
samp_g0_8	0	-0.316931291097163
samp_g0_9	1	0.814117593602839
samp_g0_10	1	0.516918665644973
samp_g0_11	0	-0.40204182738337
samp_g0_12	1	-1.27979095017974
samp_g0_13	1	-0.762671566270866
samp_g0_14	1	-0.645794103918984
samp_g0_15	0	-0.239199380227598
samp_g0_16	0	0.27236396338607
samp_g0_17	1	-1.29043811067637
samp_g0_18	1	-0.0580995052851187
samp_g0_19	0	0.109728236526395
samp_g1_0	1	0.963734892510666
samp_g1_1	0	-0.0154071127620552
samp_g1_2	1	-0.0655017698891969
samp_g1_3	0	1.54751249201482
samp_g1_4	0	1.55291045489942
samp_g1_5	1	-0.12978685009336
samp_g1_6	0	-0.774691291833822
samp_g1_7	1	-0.929346087336105
samp_g1_8	1	-0.300279806843578
samp_g1_9	1	-0.186766249677828
samp_g1_10	0	-0.296478382354112
samp_g1_11	1	-0.177692782161157
samp_g1_12	1	-0.339059079841004
samp_g1_13	0	0.835093433364887
samp_g1_14	1	0.0970599896928328
samp_g1_15	0	0.742236232957281
samp_g1_16	1	-0.513986363299678
samp_g1_17	1	0.551329497993149
samp_g1_18	0	0.573016143784477
samp_g1_19	1	-0.0259587271782472
