SAMPLE	PHENO
samp_g0_0	0
samp_g0_1	0
samp_g0_2	0
samp_g0_3	0
samp_g0_4	0
samp_g0_5	0
samp_g0_6	0
samp_g0_7	0
samp_g0_8	0
samp_g0_9	0
samp_g0_10	0
samp_g0_11	0
samp_g0_12	0
samp_g0_13	0
samp_g0_14	0
samp_g0_15	0
samp_g0_16	0
samp_g0_17	0
samp_g0_18	0
samp_g0_19	0
samp_g1_0	1
samp_g1_1	1
samp_g1_2	1
samp_g1_3	1
samp_g1_4	1
samp_g1_5	1
samp_g1_6	1
samp_g1_7	1
samp_g1_8	1
samp_g1_9	1
samp_g1_10	1
samp_g1_11	1
samp_g1_12	1
samp_g1_13	1
samp_g1_14	1
samp_g1_15	1
samp_g1_16	1
samp_g1_17	1
samp_g1_18	1
samp_g1_19	1
