FID	IID	PHENO
ref#	ref#	1
samp_g0_60#1#ref#0	samp_g0_60#1#ref#0	1
samp_g0_8#0#ref#0	samp_g0_8#0#ref#0	1
samp_g0_73#1#ref#0	samp_g0_73#1#ref#0	1
samp_g0_12#0#ref#0	samp_g0_12#0#ref#0	1
samp_g0_8#1#ref#0	samp_g0_8#1#ref#0	1
samp_g0_94#1#ref#0	samp_g0_94#1#ref#0	1
samp_g0_94#0#ref#0	samp_g0_94#0#ref#0	1
samp_g0_78#1#ref#0	samp_g0_78#1#ref#0	1
samp_g0_16#1#ref#0	samp_g0_16#1#ref#0	1
samp_g0_16#0#ref#0	samp_g0_16#0#ref#0	1
samp_g0_19#0#ref#0	samp_g0_19#0#ref#0	1
samp_g0_19#1#ref#0	samp_g0_19#1#ref#0	1
samp_g0_78#0#ref#0	samp_g0_78#0#ref#0	1
samp_g0_75#1#ref#0	samp_g0_75#1#ref#0	1
samp_g0_75#0#ref#0	samp_g0_75#0#ref#0	1
samp_g0_38#1#ref#0	samp_g0_38#1#ref#0	1
samp_g0_61#1#ref#0	samp_g0_61#1#ref#0	1
samp_g0_21#0#ref#0	samp_g0_21#0#ref#0	1
samp_g0_21#1#ref#0	samp_g0_21#1#ref#0	1
samp_g0_30#1#ref#0	samp_g0_30#1#ref#0	1
samp_g0_38#0#ref#0	samp_g0_38#0#ref#0	1
samp_g0_70#1#ref#0	samp_g0_70#1#ref#0	1
samp_g0_30#0#ref#0	samp_g0_30#0#ref#0	1
samp_g0_70#0#ref#0	samp_g0_70#0#ref#0	1
samp_g0_61#0#ref#0	samp_g0_61#0#ref#0	1
samp_g0_99#0#ref#0	samp_g0_99#0#ref#0	1
samp_g0_99#1#ref#0	samp_g0_99#1#ref#0	1
samp_g0_59#1#ref#0	samp_g0_59#1#ref#0	1
samp_g0_59#0#ref#0	samp_g0_59#0#ref#0	1
samp_g0_7#1#ref#0	samp_g0_7#1#ref#0	1
samp_g0_32#0#ref#0	samp_g0_32#0#ref#0	1
samp_g0_7#0#ref#0	samp_g0_7#0#ref#0	1
samp_g0_32#1#ref#0	samp_g0_32#1#ref#0	1
samp_g0_50#0#ref#0	samp_g0_50#0#ref#0	1
samp_g0_50#1#ref#0	samp_g0_50#1#ref#0	1
samp_g0_24#0#ref#0	samp_g0_24#0#ref#0	1
samp_g0_24#1#ref#0	samp_g0_24#1#ref#0	1
samp_g0_22#0#ref#0	samp_g0_22#0#ref#0	1
samp_g0_22#1#ref#0	samp_g0_22#1#ref#0	1
samp_g0_77#1#ref#0	samp_g0_77#1#ref#0	1
samp_g0_77#0#ref#0	samp_g0_77#0#ref#0	1
samp_g0_9#0#ref#0	samp_g0_9#0#ref#0	1
samp_g0_9#1#ref#0	samp_g0_9#1#ref#0	1
samp_g0_48#1#ref#0	samp_g0_48#1#ref#0	1
samp_g0_48#0#ref#0	samp_g0_48#0#ref#0	1
samp_g0_46#1#ref#0	samp_g0_46#1#ref#0	1
samp_g0_20#1#ref#0	samp_g0_20#1#ref#0	1
samp_g0_46#0#ref#0	samp_g0_46#0#ref#0	1
samp_g0_64#0#ref#0	samp_g0_64#0#ref#0	1
samp_g0_95#1#ref#0	samp_g0_95#1#ref#0	1
samp_g0_64#1#ref#0	samp_g0_64#1#ref#0	1
samp_g0_95#0#ref#0	samp_g0_95#0#ref#0	1
