FID	IID	PHENO
ref#	ref#	0.1815
samp_g0_60#1#ref#0	samp_g0_60#1#ref#0	0.8574
samp_g0_8#0#ref#0	samp_g0_8#0#ref#0	0.9475
samp_g0_73#1#ref#0	samp_g0_73#1#ref#0	0.9508
samp_g0_12#0#ref#0	samp_g0_12#0#ref#0	0.5563
samp_g0_8#1#ref#0	samp_g0_8#1#ref#0	0.8388
samp_g0_94#1#ref#0	samp_g0_94#1#ref#0	0.3328
samp_g0_94#0#ref#0	samp_g0_94#0#ref#0	0.2592
samp_g0_78#1#ref#0	samp_g0_78#1#ref#0	0.7407
samp_g0_16#1#ref#0	samp_g0_16#1#ref#0	0.1398
samp_g0_16#0#ref#0	samp_g0_16#0#ref#0	0.2306
samp_g0_19#0#ref#0	samp_g0_19#0#ref#0	0.7465
samp_g0_19#1#ref#0	samp_g0_19#1#ref#0	0.5421
samp_g0_78#0#ref#0	samp_g0_78#0#ref#0	0.9529
samp_g0_75#1#ref#0	samp_g0_75#1#ref#0	0.7763
samp_g0_75#0#ref#0	samp_g0_75#0#ref#0	0.2559
samp_g0_38#1#ref#0	samp_g0_38#1#ref#0	0.9465
samp_g0_61#1#ref#0	samp_g0_61#1#ref#0	0.1366
samp_g0_21#0#ref#0	samp_g0_21#0#ref#0	0.0412
samp_g0_21#1#ref#0	samp_g0_21#1#ref#0	0.0434
samp_g0_30#1#ref#0	samp_g0_30#1#ref#0	0.1343
samp_g0_38#0#ref#0	samp_g0_38#0#ref#0	0.7744
samp_g0_70#1#ref#0	samp_g0_70#1#ref#0	0.9579
samp_g0_30#0#ref#0	samp_g0_30#0#ref#0	0.2999
samp_g0_70#0#ref#0	samp_g0_70#0#ref#0	0.4709
samp_g0_61#0#ref#0	samp_g0_61#0#ref#0	0.5518
samp_g0_99#0#ref#0	samp_g0_99#0#ref#0	0.3542
samp_g0_99#1#ref#0	samp_g0_99#1#ref#0	0.9361
samp_g0_59#1#ref#0	samp_g0_59#1#ref#0	0.8272
samp_g0_59#0#ref#0	samp_g0_59#0#ref#0	0.6774
samp_g0_7#1#ref#0	samp_g0_7#1#ref#0	0.1752
samp_g0_32#0#ref#0	samp_g0_32#0#ref#0	0.7366
samp_g0_7#0#ref#0	samp_g0_7#0#ref#0	0.4487
samp_g0_32#1#ref#0	samp_g0_32#1#ref#0	0.5583
samp_g0_50#0#ref#0	samp_g0_50#0#ref#0	0.2240
samp_g0_50#1#ref#0	samp_g0_50#1#ref#0	0.8831
samp_g0_24#0#ref#0	samp_g0_24#0#ref#0	0.7131
samp_g0_24#1#ref#0	samp_g0_24#1#ref#0	0.5088
samp_g0_22#0#ref#0	samp_g0_22#0#ref#0	0.8515
samp_g0_22#1#ref#0	samp_g0_22#1#ref#0	0.5073
samp_g0_77#1#ref#0	samp_g0_77#1#ref#0	0.0084
samp_g0_77#0#ref#0	samp_g0_77#0#ref#0	0.4283
samp_g0_9#0#ref#0	samp_g0_9#0#ref#0	0.6464
samp_g0_9#1#ref#0	samp_g0_9#1#ref#0	0.5015
samp_g0_48#1#ref#0	samp_g0_48#1#ref#0	0.7022
samp_g0_48#0#ref#0	samp_g0_48#0#ref#0	0.1639
samp_g0_46#1#ref#0	samp_g0_46#1#ref#0	0.7638
samp_g0_20#1#ref#0	samp_g0_20#1#ref#0	0.9902
samp_g0_46#0#ref#0	samp_g0_46#0#ref#0	0.1671
samp_g0_64#0#ref#0	samp_g0_64#0#ref#0	0.9255
samp_g0_95#1#ref#0	samp_g0_95#1#ref#0	0.5283
samp_g0_64#1#ref#0	samp_g0_64#1#ref#0	0.3138
samp_g0_95#0#ref#0	samp_g0_95#0#ref#0	0.5835
samp_g0_18#0#ref#0	samp_g0_18#0#ref#0	0.8399
samp_g0_18#1#ref#0	samp_g0_18#1#ref#0	0.6649
samp_g0_49#1#ref#0	samp_g0_49#1#ref#0	0.0713
samp_g0_20#0#ref#0	samp_g0_20#0#ref#0	0.9059
samp_g0_52#0#ref#0	samp_g0_52#0#ref#0	0.1041
samp_g0_52#1#ref#0	samp_g0_52#1#ref#0	0.2045
samp_g0_91#1#ref#0	samp_g0_91#1#ref#0	0.6440
samp_g0_91#0#ref#0	samp_g0_91#0#ref#0	0.6744
samp_g0_41#1#ref#0	samp_g0_41#1#ref#0	0.9586
samp_g0_41#0#ref#0	samp_g0_41#0#ref#0	0.5253
samp_g0_23#1#ref#0	samp_g0_23#1#ref#0	0.6695
